Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
89.943848  | 819.999939  | 993.205017  | 120.000000  | 993.205017  | 260.097992  | 1
89.831596  | 819.999573  | 993.204712  | 119.999947  | 993.204712  | 260.294067  | 2
89.663383  | 819.998291  | 993.203857  | 119.999718  | 993.203857  | 260.588348  | 3
89.439407  | 819.995239  | 993.201843  | 119.999115  | 993.201843  | 260.981079  | 4
89.159958  | 819.989258  | 993.198059  | 119.997864  | 993.198059  | 261.472565  | 5
88.825401  | 819.979004  | 993.191772  | 119.995605  | 993.191772  | 262.063202  | 6
88.436180  | 819.962769  | 993.181946  | 119.991913  | 993.181946  | 262.753479  | 7
87.992805  | 819.938660  | 993.167664  | 119.986282  | 993.167664  | 263.544006  | 8
87.495880  | 819.904541  | 993.147705  | 119.978142  | 993.147705  | 264.435181  | 9
86.946068  | 819.857971  | 993.120972  | 119.966827  | 993.120972  | 265.427917  | 10
86.344109  | 819.796509  | 993.085938  | 119.951614  | 993.085938  | 266.522705  | 11
85.690811  | 819.717285  | 993.041443  | 119.931709  | 993.041443  | 267.720367  | 12
84.987045  | 819.617493  | 992.985962  | 119.906235  | 992.985962  | 269.021667  | 13
84.233757  | 819.494019  | 992.918152  | 119.874252  | 992.918152  | 270.427399  | 14
83.431938  | 819.343689  | 992.836426  | 119.834763  | 992.836426  | 271.938263  | 15
82.582642  | 819.163208  | 992.739380  | 119.786697  | 992.739380  | 273.555115  | 16
81.686966  | 818.949280  | 992.625549  | 119.728928  | 992.625549  | 275.278687  | 17
80.746063  | 818.698547  | 992.493530  | 119.660271  | 992.493530  | 277.109802  | 18
79.761108  | 818.407532  | 992.341797  | 119.579506  | 992.341797  | 279.049103  | 19
78.733330  | 818.072876  | 992.169189  | 119.485352  | 992.169189  | 281.097351  | 20
77.663979  | 817.691162  | 991.974182  | 119.376488  | 991.974182  | 283.255219  | 21
76.554329  | 817.259094  | 991.755615  | 119.251556  | 991.755615  | 285.523346  | 22
75.405678  | 816.773438  | 991.512329  | 119.109177  | 991.512329  | 287.902313  | 23
74.219345  | 816.230957  | 991.242981  | 118.947929  | 991.242981  | 290.392639  | 24
72.996674  | 815.628784  | 990.946594  | 118.766388  | 990.946594  | 292.994812  | 25
71.739006  | 814.963928  | 990.622192  | 118.563087  | 990.622192  | 295.709381  | 26
70.447716  | 814.233643  | 990.268555  | 118.336571  | 990.268555  | 298.536682  | 27
69.124184  | 813.435486  | 989.884949  | 118.085358  | 989.884949  | 301.477112  | 28
67.769806  | 812.567139  | 989.470337  | 117.807968  | 989.470337  | 304.530945  | 29
66.385994  | 811.626465  | 989.023926  | 117.502930  | 989.023926  | 307.698517  | 30
64.974190  | 810.611755  | 988.544800  | 117.168770  | 988.544800  | 310.980042  | 31
63.535858  | 809.521362  | 988.032166  | 116.804016  | 988.032166  | 314.375732  | 32
62.072487  | 808.354065  | 987.485229  | 116.407227  | 987.485229  | 317.885773  | 33
60.585606  | 807.109070  | 986.903076  | 115.976959  | 986.903076  | 321.510345  | 34
59.076782  | 805.785645  | 986.284973  | 115.511810  | 986.284973  | 325.249481  | 35
57.547630  | 804.383789  | 985.630005  | 115.010384  | 985.630005  | 329.103333  | 36
55.999821  | 802.903564  | 984.937317  | 114.471329  | 984.937317  | 333.071991  | 37
54.435089  | 801.345703  | 984.205933  | 113.893326  | 984.205933  | 337.155487  | 38
52.855240  | 799.711243  | 983.434875  | 113.275093  | 983.434875  | 341.353851  | 39
51.262157  | 798.001709  | 982.623108  | 112.615395  | 982.623108  | 345.667114  | 40
49.657814  | 796.219177  | 981.769470  | 111.913048  | 981.769470  | 350.095306  | 41
48.044281  | 794.366150  | 980.872681  | 111.166916  | 980.872681  | 354.638367  | 42
46.423725  | 792.445740  | 979.931396  | 110.375923  | 979.931396  | 359.296326  | 43
44.798435  | 790.461487  | 978.944214  | 109.539062  | 978.944214  | 364.069092  | 44
43.170818  | 788.417603  | 977.909485  | 108.655388  | 977.909485  | 368.956635  | 45
41.543404  | 786.318726  | 976.825500  | 107.724037  | 976.825500  | 373.958801  | 46
